AÑO,D,D_per_capita,D_per_capita_USD,PBI,PBI_USD,PBI_IVA,PBI_INDIRECTOS
2004,2297105,3570,1200,485115195206.345,163063931161.797,6.39,9.94
2005,4960210,3660,1200,582538172937.275,190996122274.516,6.33,9.81
2006,7636315,3708,1200,715904271733.849,231684230334.579,6.58,9.93
2007,10318420,3808,1200,896980174071.903,282691514047.243,6.99,10.25
2008,13005525,4248,1200,1149646090583.64,324758782650.744,6.98,10.21
2009,15690630,4637,1200,1247929268925.02,323046665525.503,7,10.34
2010,18641735,4930,1200,1661720925944.58,404508501933.929,7,10.32
2011,21411840,5688,1200,2179024103630.78,459709726504.383,7.08,10.27
2012,24180945,8160,1200,2637913848215.55,387928507090.522,7.22,10.55
2013,26948050,12000,1200,3348308488227.21,334830848822.721,7.44,10.71
2014,29712155,16560,1200,4579086425410.1,331817856913.775,7.23,10.53
2015,32471260,17184,1200,5954510895692.34,415817799978.515,7.27,10.56
2016,35226365,20244,1200,8228159556536.43,487739155692.734,7.09,10.36
2017,38005470,23136,1200,10644778799189.1,552115082945.491,7.19,10.64
2018,40790916,48600,1200,14605790348987.9,360636798740.442,7.58,10.7
