AÑO,N,C2004,B,D
2004,38226000,3769084,32159811,2297105
2005,38592000,3769084,29862706,4960210
2006,38971000,3769084,27565601,7636315
2007,39356000,3769084,25268496,10318420
2008,39746000,3769084,22971391,13005525
2009,40134000,3769084,20674286,15690630
2010,40788000,3769084,18377181,18641735
2011,41261000,3769084,16080076,21411840
2012,41733000,3769084,13782971,24180945
2013,42203000,3769084,11485866,26948050
2014,42670000,3769084,9188761,29712155
2015,43132000,3769084,6891656,32471260
2016,43590000,3769084,4594551,35226365
2017,44072000,3769084,2297446,38005470
2018,44560000,3769084,0,40790916
